timestamp_ms,price
1621430420000,35675.06000000
1621430420100,35704.00000000
1621430420200,35691.66000000
1621430420300,35554.37000000
1621430420400,35680.69000000
1621430420500,35600.00000000
1621430420600,35691.66000000
1621430420700,35695.78000000
1621430420800,35701.74000000
1621430420900,35716.03000000
1621430421000,35771.42000000
1621430421100,35608.14000000
1621430421200,35608.15000000
1621430421300,35695.77000000
1621430421400,35641.42000000
1621430421500,35692.39000000
1621430421600,35666.13000000
1621430421700,35680.52000000
1621430421800,35680.52000000
1621430421900,35723.24000000
1621430422000,35723.24000000
1621430422100,35723.24000000
1621430422200,35739.35000000
1621430422300,35727.07000000
1621430422400,35727.07000000
1621430422500,35727.07000000
1621430422600,35724.71000000
1621430422700,35771.56000000
1621430422800,35737.97000000
1621430422900,35779.99000000
1621430423000,35767.23000000
1621430423100,35788.25000000
1621430423200,35776.64000000
1621430423300,35795.36000000
1621430423400,35648.17000000
1621430423500,35634.67000000
1621430423600,35732.26000000
1621430423700,35737.04000000
1621430423800,35797.94000000
1621430423900,35608.15000000
1621430424000,35723.33000000
1621430424100,35723.33000000
1621430424200,35745.29000000
1621430424300,35723.71000000
1621430424400,35725.50000000
1621430424500,35757.13000000
1621430424600,35757.13000000
1621430424700,35710.97000000
1621430424800,35721.43000000
1621430424900,35704.14000000
1621430425000,35651.24000000
1621430425100,35839.00000000
1621430425200,35822.39000000
1621430425300,35800.00000000
1621430425400,35800.00000000
1621430425500,35778.65000000
1621430425600,35722.58000000
1621430425700,35723.03000000
1621430425800,35723.03000000
1621430425900,35719.95000000
1621430426000,35736.93000000
1621430426100,35778.44000000
1621430426200,35794.18000000
1621430426300,35751.23000000
1621430426400,35749.41000000
1621430426500,35791.04000000
1621430426600,35810.90000000
1621430426700,35772.90000000
1621430426800,35747.63000000
1621430426900,35832.60000000
1621430427000,35858.17000000
1621430427100,35786.94000000
1621430427200,35816.50000000
1621430427300,35763.41000000
1621430427400,35747.26000000
1621430427500,35868.32000000
1621430427600,35776.64000000
1621430427700,35810.89000000
1621430427800,35776.64000000
1621430427900,35797.24000000
1621430428000,35810.89000000
1621430428100,35817.21000000
1621430428200,35817.21000000
1621430428300,35800.02000000
1621430428400,35809.06000000
1621430428500,35823.18000000
1621430428600,35778.43000000
1621430428700,35743.32000000
1621430428800,35745.12000000
1621430428900,35776.64000000
1621430429000,35847.12000000
1621430429100,35739.35000000
1621430429200,35888.00000000
1621430429300,35771.97000000
1621430429400,35800.00000000
1621430429500,35791.16000000
1621430429600,35789.99000000
1621430429700,35798.50000000
1621430429800,35776.64000000
1621430429900,35806.95000000
1621430430000,35806.95000000
1621430430100,35723.71000000
1621430430200,35799.84000000
1621430430300,35652.90000000
1621430430400,35858.08000000
1621430430500,35768.64000000
1621430430600,35676.79000000
1621430430700,35723.71000000
1621430430800,35735.82000000
1621430430900,35741.53000000
1621430431000,35776.64000000
1621430431100,35782.06000000
1621430431200,35741.53000000
1621430431300,35745.20000000
1621430431400,35741.53000000
1621430431500,35739.37000000
1621430431600,35700.00000000
1621430431700,35735.34000000
1621430431800,35704.64000000
1621430431900,35800.00000000
1621430432000,35740.18000000
1621430432100,35709.65000000
1621430432200,35793.50000000
1621430432300,35779.31000000
1621430432400,35611.38000000
1621430432500,35700.00000000
1621430432600,35700.00000000
1621430432700,35713.76000000
1621430432800,35738.23000000
1621430432900,35722.66000000
1621430433000,35669.42000000
1621430433100,35669.41000000
1621430433200,35500.00000000
1621430433300,35622.31000000
1621430433400,35602.26000000
1621430433500,35561.35000000
1621430433600,35568.60000000
1621430433700,35585.68000000
1621430433800,35588.70000000
1621430433900,35520.26000000
1621430434000,35595.43000000
1621430434100,35600.00000000
1621430434200,35590.58000000
1621430434300,35561.62000000
1621430434400,35564.26000000
1621430434500,35563.88000000
1621430434600,35525.39000000
1621430434700,35504.36000000
1621430434800,35500.00000000
1621430434900,35510.47000000
1621430435000,35612.15000000
1621430435100,35583.48000000
1621430435200,35500.00000000
1621430435300,35520.81000000
1621430435400,35662.59000000
1621430435500,35662.59000000
1621430435600,35593.17000000
1621430435700,35592.80000000
1621430435800,35662.59000000
1621430435900,35623.58000000
1621430436000,35602.89000000
1621430436100,35643.17000000
1621430436200,35673.48000000
1621430436300,35593.50000000
1621430436400,35545.19000000
1621430436500,35525.53000000
1621430436600,35502.63000000
1621430436700,35495.03000000
1621430436800,35483.65000000
1621430436900,35526.84000000
1621430437000,35480.93000000
1621430437100,35493.47000000
1621430437200,35489.95000000
1621430437300,35517.01000000
1621430437400,35486.26000000
1621430437500,35480.93000000
1621430437600,35493.67000000
1621430437700,35494.59000000
1621430437800,35520.13000000
1621430437900,35494.60000000
1621430438000,35545.19000000
1621430438100,35545.03000000
1621430438200,35545.19000000
1621430438300,35543.23000000
1621430438400,35503.32000000
1621430438500,35521.32000000
1621430438600,35543.34000000
1621430438700,35480.27000000
1621430438800,35517.46000000
1621430438900,35537.89000000
1621430439000,35517.44000000
1621430439100,35540.19000000
1621430439200,35473.61000000
1621430439300,35501.03000000
1621430439400,35569.14000000
1621430439500,35538.80000000
1621430439600,35483.65000000
1621430439700,35500.36000000
1621430439800,35447.79000000
1621430439900,35496.77000000
1621430440000,35496.77000000
1621430440100,35447.79000000
1621430440200,35474.51000000
1621430440300,35420.58000000
1621430440400,35400.01000000
1621430440500,35404.23000000
1621430440600,35427.85000000
1621430440700,35479.97000000
1621430440800,35565.32000000
1621430440900,35565.32000000
1621430441000,35882.05000000
1621430441100,35620.28000000
1621430441200,35666.55000000
1621430441300,35517.46000000
1621430441400,35588.70000000
1621430441500,35503.57000000
1621430441600,35527.71000000
1621430441700,35620.13000000
1621430441800,35548.89000000
1621430441900,35500.00000000
1621430442000,35500.00000000
1621430442100,35559.35000000
1621430442200,35564.36000000
1621430442300,35576.19000000
1621430442400,35586.89000000
1621430442500,35576.19000000
1621430442600,35574.90000000
1621430442700,35632.99000000
1621430442800,35628.22000000
1621430442900,35618.39000000
1621430443000,35503.56000000
1621430443100,35576.19000000
1621430443200,35521.32000000
1621430443300,35555.00000000
1621430443400,35670.93000000
1621430443500,35665.82000000
1621430443600,35455.00000000
1621430443700,35455.95000000
